Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag,Academic_Sentence
Deep_Learning,Assessment_Methodology,Negative,2,empirical_finding,"2 çalışma, derin öğrenme yöntemiyle Assessment Methodology için negatif bir eğilim raporlamıştır (Study_Count=2)."
Deep_Learning,Assessment_Methodology,Null,3,empirical_finding,"3 çalışma, derin öğrenme yöntemiyle Assessment Methodology için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Deep_Learning,Assessment_Methodology,Positive,5,empirical_finding,"5 çalışma, derin öğrenme yöntemiyle Assessment Methodology için pozitif bir eğilim raporlamıştır (Study_Count=5)."
Deep_Learning,Belonging_School_Climate,Null,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Belonging School Climate için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Deep_Learning,Curriculum_Instruction,Positive,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Curriculum Instruction için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Deep_Learning,Gender_Demographics,Negative,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Gender Demographics için negatif bir eğilim raporlamıştır (Study_Count=1)."
Deep_Learning,Gender_Demographics,Null,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Gender Demographics için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Deep_Learning,Math_Achievement,Null,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Math Achievement için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Deep_Learning,Math_Achievement,Positive,2,empirical_finding,"2 çalışma, derin öğrenme yöntemiyle Math Achievement için pozitif bir eğilim raporlamıştır (Study_Count=2)."
Deep_Learning,Problem_Solving_Achievement,Positive,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Problem Solving Achievement için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Deep_Learning,Psychometrics_Process,Null,3,empirical_finding,"3 çalışma, derin öğrenme yöntemiyle Psychometrics Process için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=3)."
Deep_Learning,SES,Negative,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle SES için negatif bir eğilim raporlamıştır (Study_Count=1)."
Deep_Learning,SES,Null,2,empirical_finding,"2 çalışma, derin öğrenme yöntemiyle SES için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=2)."
Deep_Learning,Student_Motivation,Positive,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Student Motivation için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Deep_Learning,Teacher_Efficacy_Workforce,Null,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Teacher Efficacy Workforce için net yönlü bir etki bildirmemiş veya null/belirsiz sonuç raporlamıştır (Study_Count=1)."
Deep_Learning,Teacher_Efficacy_Workforce,Positive,1,empirical_finding,"1 çalışma, derin öğrenme yöntemiyle Teacher Efficacy Workforce için pozitif bir eğilim raporlamıştır (Study_Count=1)."
Ensemble_Learning,Academic_Resilience,Negative,1,empirical_finding,"1 çalışma, ensemble öğrenme yöntemiyle Academic Resilience için negatif bir eğilim raporlamıştır (Study_Count=1)."
